playerID,year,tmID,G,A,Pts,PIM,firstName,lastName,fullName
abbeybr01,1975,CIN,1,0,1,12,Bruce,Abbey,Bruce Abbey
adamscr01,2000,CAR,1,0,1,20,Craig,Adams,Craig Adams
allisra01,1980,HAR,1,0,1,0,Ray,Allison,Ray Allison
almonco01,2009,MIN,1,0,1,9,Cody,Almond,Cody Almond
almonco01,2011,MIN,1,0,1,15,Cody,Almond,Cody Almond
andrell01,1924,TRS,1,0,1,0,Lloyd,Andrews,Lloyd Andrews
andrepa01,1970,CLF,1,0,1,2,Paul,Andrea,Paul Andrea
angelmi01,2011,TBL,1,0,1,5,Mike,Angelidis,Mike Angelidis
antossh01,1997,ANA,1,0,1,18,Shawn,Antoski,Shawn Antoski
arboual01,1962,TOR,1,0,1,4,Al,Arbour,Al Arbour
arbouja01,1928,TOR,1,0,1,10,Jack,Arbour,Jack Arbour
armstti01,1988,TOR,1,0,1,6,Tim,Armstrong,Tim Armstrong
ashtobr01,1991,WIN,1,0,1,4,Brent,Ashton,Brent Ashton
aubucos01,1943,BOS,1,0,1,0,Ossie,Aubuchon,Ossie Aubuchon
aucoiad01,1994,VAN,1,0,1,0,Adrian,Aucoin,Adrian Aucoin
auriela01,1938,DET,1,0,1,0,Larry,Aurie,Larry Aurie
awreydo01,1963,BOS,1,0,1,4,Don,Awrey,Don Awrey
awreydo01,1966,BOS,1,0,1,6,Don,Awrey,Don Awrey
bakerbr01,1916,MOW,1,0,1,0,Brownie,Baker,Brownie Baker
barnama01,1992,BUF,1,0,1,10,Matthew,Barnaby,Matthew Barnaby
barryma01,1927,NYA,1,0,1,2,Marty,Barry,Marty Barry
bartomi01,2002,BUF,1,0,1,0,Milan,Bartovic,Milan Bartovic
batemja01,1975,SDM,1,0,1,4,Jamie,Bateman,Jamie Bateman
bauerbo01,1936,BOS,1,0,1,0,Bobby,Bauer,Bobby Bauer
baumgke01,1989,LAK,1,0,1,28,Ken,Baumgartner,Ken Baumgartner
baumgke01,1992,TOR,1,0,1,155,Ken,Baumgartner,Ken Baumgartner
bawaro01,1989,WAS,1,0,1,6,Robin,Bawa,Robin Bawa
beadlsa01,1980,WIN,1,0,1,2,Sandy,Beadle,Sandy Beadle
beaufma01,1992,SJS,1,0,1,0,Mark,Beaufait,Mark Beaufait
behlidi01,1942,DET,1,0,1,2,Dick,Behling,Dick Behling
belakwa01,2007,TOR,1,0,1,66,Wade,Belak,Wade Belak
bellbi01,1913,MOW,1,0,1,0,Billy,Bell,Billy Bell
bellbi01,1914,OT1,1,0,1,17,Billy,Bell,Billy Bell
bellbi01,1917,MTW,1,0,1,0,Billy,Bell,Billy Bell
bellbi01,1921,MTL,1,0,1,0,Billy,Bell,Billy Bell
bellepe01,1928,DTC,1,0,1,0,Pete,Bellefeuille,Pete Bellefeuille
benneha02,1977,PHI,1,0,1,7,Harvey,Bennett,Harvey Bennett
benneri01,1989,NYR,1,0,1,5,Rick,Bennett,Rick Bennett
bergemi01,1977,DET,1,0,1,0,Michel,Bergeron,Michel Bergeron
bergfni01,2008,NJD,1,0,1,0,Nicklas,Bergfors,Nicklas Bergfors
berniar01,1910,MOC,1,0,1,0,Art,Bernier,Art Bernier
berrybr01,1985,WIN,1,0,1,10,Brad,Berry,Brad Berry
bettsbl01,2001,CAL,1,0,1,2,Blair,Betts,Blair Betts
bicekji01,2000,NJD,1,0,1,4,Jiri,Bicek,Jiri Bicek
bissopa01,2010,PHO,1,0,1,71,Paul,Bissonnette,Paul Bissonnette
bissopa01,2011,PHO,1,0,1,41,Paul,Bissonnette,Paul Bissonnette
bladeha01,1947,CHI,1,0,1,0,Hank,Blade,Hank Blade
blaismi01,1984,NYR,1,0,1,11,Mike,Blaisdell,Mike Blaisdell
blaismi01,1988,TOR,1,0,1,4,Mike,Blaisdell,Mike Blaisdell
blakeja01,1998,LAK,1,0,1,0,Jason,Blake,Jason Blake
blighri01,1980,VAN,1,0,1,4,Rick,Blight,Rick Blight
bliznma01,2010,VAN,1,0,1,0,Mario,Bliznak,Mario Bliznak
boivicl01,1993,OTT,1,0,1,38,Claude,Boivin,Claude Boivin
bonsija01,1994,EDM,1,0,1,0,Jason,Bonsignore,Jason Bonsignore
bostrhe01,1932,CHI,1,0,1,14,Helge,Bostrom,Helge Bostrom
bothwti01,1986,HAR,1,0,1,0,Tim,Bothwell,Tim Bothwell
botteja01,2001,CAL,1,0,1,2,Jason,Botterill,Jason Botterill
bouchbi01,1926,MTL,1,0,1,14,Billy,Boucher,Billy Boucher
bouchbo01,1923,MTL,1,0,1,0,Bobby,Boucher,Bobby Boucher
bouchbo01,1924,VMR,1,0,1,2,Bobby,Boucher,Bobby Boucher
bouched01,1927,NYA,1,0,1,27,Edmond,Bouchard,Edmond Bouchard
bouchhe01,1971,DET,1,0,1,2,Henry,Boucha,Henry Boucha
bouchph01,1994,LAK,1,0,1,4,Philippe,Boucher,Philippe Boucher
boudrbr01,1985,CHI,1,0,1,2,Bruce,Boudreau,Bruce Boudreau
boudrmi01,1973,VAB,1,0,1,0,Michel,Boudreau,Michel Boudreau
boughbo01,1999,PIT,1,0,1,69,Bob,Boughner,Bob Boughner
boumejo01,2001,NJD,1,0,1,2,Josef,Boumedienne,Josef Boumedienne
boumejo01,2002,WAS,1,0,1,0,Josef,Boumedienne,Josef Boumedienne
bourgle01,1926,TRS,1,0,1,44,Leo,Bourgeault,Leo Bourgeault
bourqch01,2008,WAS,1,0,1,0,Chris,Bourque,Chris Bourque
bowenja01,1992,PHI,1,0,1,2,Jason,Bowen,Jason Bowen
boyddu01,2010,MTL,1,0,1,2,Dustin,Boyd,Dustin Boyd
brackcu01,1982,STL,1,0,1,6,Curt,Brackenbury,Curt Brackenbury
