playerID,year,tmID,G,A,Pts,PIM,firstName,lastName,fullName
lobanal01,1978,SOV,2,6,8,1,Alexander,Lobanov,Alexander Lobanov
abdelju01,2007,DET,0,0,0,2,Justin,Abdelkader,Justin Abdelkader
abidra01,2002,PIT,0,0,0,2,Ramzi,Abid,Ramzi Abid
adamsjo02,1974,WAS,0,0,0,2,John,Adams,John Adams
adduori01,1979,ATF,0,0,0,2,Rick,Adduono,Rick Adduono
aebisda01,2006,MTL,0,0,0,2,David,Aebischer,David Aebischer
ahrench01,1975,MNS,0,0,0,2,Chris,Ahrens,Chris Ahrens
ailsbll01,1951,NYR,0,0,0,2,Lloyd,Ailsby,Lloyd Ailsby
allanje01,1977,CLE,0,0,0,2,Jeff,Allan,Jeff Allan
allenbo01,2007,BOS,0,0,0,2,Bobby,Allen,Bobby Allen
allench01,1997,FLO,0,0,0,2,Chris,Allen,Chris Allen
almonco01,2010,MIN,0,0,0,2,Cody,Almond,Cody Almond
amadida01,1957,DET,0,0,0,2,Dave,Amadio,Dave Amadio
amodemi01,1979,WIN,0,0,0,2,Mike,Amodeo,Mike Amodeo
anderjo02,2001,NAS,0,0,0,2,Jonas,Andersson,Jonas Andersson
anderni01,1997,SJS,0,0,0,2,Niklas,Andersson,Niklas Andersson
andrugr01,1993,PIT,0,0,0,2,Greg,Andrusak,Greg Andrusak
andruro01,1974,MTL,0,0,0,2,Ron,Andruff,Ron Andruff
angelme01,2003,WAS,0,0,0,2,Mel,Angelstad,Mel Angelstad
antossh01,1996,ANA,0,0,0,2,Shawn,Antoski,Shawn Antoski
archiji01,1986,MNS,0,0,0,2,Jim,Archibald,Jim Archibald
armstbo01,1950,BOS,0,0,0,2,Bob,Armstrong,Bob Armstrong
armstde01,2009,STL,0,0,0,2,Derek,Armstrong,Derek Armstrong
armstri01,2008,SJS,0,0,0,2,Riley,Armstrong,Riley Armstrong
attwero01,1967,NYR,0,0,0,2,Ron,Attwell,Ron Attwell
aubinje01,2003,PIT,0,0,0,2,Jean-Sebastien,Aubin,Jean-Sebastien Aubin
auldal01,2008,OTT,0,0,0,2,Alex,Auld,Alex Auld
babcobo01,1992,WAS,0,0,0,2,Bobby,Babcock,Bobby Babcock
bacasja01,2006,STL,0,0,0,2,Jason,Bacashihua,Jason Bacashihua
backsni01,2007,MIN,0,0,0,2,Niklas,Backstrom,Niklas Backstrom
bailere01,1982,TOR,0,0,0,2,Reid,Bailey,Reid Bailey
bairdke01,1976,CAC,0,0,0,2,Ken,Baird,Ken Baird
bakerst01,1979,NYR,0,0,0,2,Steve,Baker,Steve Baker
baldwdo01,1947,CHI,0,0,0,2,Doug,Baldwin,Doug Baldwin
balesmi01,1995,OTT,0,0,0,2,Mike,Bales,Mike Bales
balfoea01,1951,TOR,0,0,0,2,Earl,Balfour,Earl Balfour
balfomu01,1956,MTL,0,0,0,2,Murray,Balfour,Murray Balfour
balonda01,1973,QUN,0,0,0,2,Dave,Balon,Dave Balon
baluist01,1959,BOS,0,0,0,2,Stan,Baluik,Stan Baluik
banhafr01,1999,ANA,0,0,0,2,Frank,Banham,Frank Banham
banhafr01,2002,PHO,0,0,0,2,Frank,Banham,Frank Banham
barbean01,1950,TOR,0,0,0,2,Andy,Barbe,Andy Barbe
barbebo01,1973,NYJ,0,0,0,2,Bob,Barber,Bob Barber
barkldo01,1959,CHI,0,0,0,2,Doug,Barkley,Doug Barkley
barrado01,1992,MNS,0,0,0,2,Doug,Barrault,Doug Barrault
barrda01,1983,NYR,0,0,0,2,Dave,Barr,Dave Barr
basseha01,1955,CHI,0,0,0,2,Hank,Bassen,Hank Bassen
bathgfr01,1952,NYR,0,0,0,2,Frank,Bathgate,Frank Bathgate
baumaga01,1967,MNS,0,0,0,2,Gary,Bauman,Gary Bauman
baumgno01,2003,PIT,0,0,0,2,Nolan,Baumgartner,Nolan Baumgartner
bautise01,1995,SJS,0,0,0,2,Sergei,Bautin,Sergei Bautin
beaglja01,2008,WAS,0,0,0,2,Jay,Beagle,Jay Beagle
beaudse01,1974,VAB,0,0,0,2,Serge,Beaudoin,Serge Beaudoin
beckebo01,1957,BOS,0,0,0,2,Bob,Beckett,Bob Beckett
bedarja01,1949,CHI,0,0,0,2,James,Bedard,James Bedard
beechkr01,2000,WAS,0,0,0,2,Kris,Beech,Kris Beech
beechkr01,2007,PIT,0,0,0,2,Kris,Beech,Kris Beech
bekarde01,2003,NYI,0,0,0,2,Derek,Bekar,Derek Bekar
belanje01,2000,NYI,0,0,0,2,Jesse,Belanger,Jesse Belanger
bellbi01,1920,MTL,0,0,0,2,Billy,Bell,Billy Bell
bellbi01,1922,MTL,0,0,0,2,Billy,Bell,Billy Bell
bellesh01,2010,COL,0,0,0,2,Shawn,Belle,Shawn Belle
benedcl01,1922,OTS,0,0,0,2,Clint,Benedict,Clint Benedict
