playerID,year,tmID,G,A,Pts,PIM,firstName,lastName,fullName
abbeybr01,1975,CIN,1,0,1,12,Bruce,Abbey,Bruce Abbey
abelcl01,1927,NYR,0,1,1,28,Clarence,Abel,Clarence Abel
abelcl01,1930,CHI,0,1,1,45,Clarence,Abel,Clarence Abel
abrahch01,1975,NEW,0,1,1,6,Christer,Abrahamsson,Christer Abrahamsson
abrahch01,1976,NEW,0,1,1,12,Christer,Abrahamsson,Christer Abrahamsson
acombdo01,1969,TOR,0,1,1,0,Doug,Acomb,Doug Acomb
actonke01,1979,MTL,0,1,1,0,Keith,Acton,Keith Acton
adamdo01,1949,NYR,0,1,1,0,Douglas,Adam,Douglas Adam
adamsbr01,2000,ATL,0,1,1,2,Bryan,Adams,Bryan Adams
adamscr01,2000,CAR,1,0,1,20,Craig,Adams,Craig Adams
adamscr01,2001,CAR,0,1,1,38,Craig,Adams,Craig Adams
adamscr01,2008,PIT,0,1,1,0,Craig,Adams,Craig Adams
aebisda01,2000,COL,0,1,1,0,David,Aebischer,David Aebischer
aebisda01,2003,COL,0,1,1,4,David,Aebischer,David Aebischer
afflebr01,1979,VAN,0,1,1,0,Bruce,Affleck,Bruce Affleck
agnewji01,1987,VAN,0,1,1,16,Jim,Agnew,Jim Agnew
aholape01,1992,PIT,0,1,1,14,Peter,Ahola,Peter Ahola
ahrench01,1973,MNS,0,1,1,0,Chris,Ahrens,Chris Ahrens
aitkebr01,1990,PIT,0,1,1,25,Brad,Aitken,Brad Aitken
aitkebr01,1990,EDM,0,1,1,0,Brad,Aitken,Brad Aitken
aitkejo01,2003,CHI,0,1,1,70,Johnathan,Aitken,Johnathan Aitken
aivazmi01,1994,EDM,0,1,1,2,Micah,Aivazoff,Micah Aivazoff
aivazmi01,1995,NYI,0,1,1,6,Micah,Aivazoff,Micah Aivazoff
albelto01,1995,CAL,0,1,1,4,Tommy,Albelin,Tommy Albelin
allenbr01,2008,FLO,0,1,1,0,Bryan,Allen,Bryan Allen
allenvi01,1940,NYA,0,1,1,0,Viv,Allen,Viv Allen
allisja01,1993,WAS,0,1,1,0,Jason,Allison,Jason Allison
allisja02,2002,CBS,0,1,1,99,Jamie,Allison,Jamie Allison
allisja02,2005,NAS,0,1,1,45,Jamie,Allison,Jamie Allison
allisra01,1980,HAR,1,0,1,0,Ray,Allison,Ray Allison
allumbi01,1940,NYR,0,1,1,0,Bill,Allum,Bill Allum
almonco01,2009,MIN,1,0,1,9,Cody,Almond,Cody Almond
almonco01,2011,MIN,1,0,1,15,Cody,Almond,Cody Almond
ambrope01,1994,BUF,0,1,1,0,Peter,Ambroziak,Peter Ambroziak
andercr01,2005,CHI,0,1,1,14,Craig,Anderson,Craig Anderson
andercr01,2007,FLO,0,1,1,2,Craig,Anderson,Craig Anderson
andercr01,2008,FLO,0,1,1,2,Craig,Anderson,Craig Anderson
andercr01,2010,COL,0,1,1,4,Craig,Anderson,Craig Anderson
anderea01,1975,BOS,0,1,1,2,Earl,Anderson,Earl Anderson
andermi01,1988,BUF,0,1,1,4,Mikael,Andersson,Mikael Andersson
andermi01,1998,PHI,0,1,1,0,Mikael,Andersson,Mikael Andersson
andermu01,1974,WAS,0,1,1,68,Murray,Anderson,Murray Anderson
anderni01,1992,QUE,0,1,1,2,Niklas,Andersson,Niklas Andersson
anderni01,1999,NAS,0,1,1,0,Niklas,Andersson,Niklas Andersson
anderni01,2000,CAL,0,1,1,4,Niklas,Andersson,Niklas Andersson
anderru01,1981,PIT,0,1,1,98,Russ,Anderson,Russ Anderson
andrell01,1924,TRS,1,0,1,0,Lloyd,Andrews,Lloyd Andrews
andrepa01,1970,CLF,1,0,1,2,Paul,Andrea,Paul Andrea
andrugr01,1998,PIT,0,1,1,4,Greg,Andrusak,Greg Andrusak
andrugr01,1999,TOR,0,1,1,4,Greg,Andrusak,Greg Andrusak
angelmi01,2011,TBL,1,0,1,5,Mike,Angelidis,Mike Angelidis
antonmi01,1979,HAR,0,1,1,2,Mike,Antonovich,Mike Antonovich
antossh01,1997,ANA,1,0,1,18,Shawn,Antoski,Shawn Antoski
arboual01,1953,DET,0,1,1,18,Al,Arbour,Al Arbour
arboual01,1962,TOR,1,0,1,4,Al,Arbour,Al Arbour
arboual01,1963,TOR,0,1,1,0,Al,Arbour,Al Arbour
arboual01,1965,TOR,0,1,1,2,Al,Arbour,Al Arbour
arbouja01,1922,CAT,0,1,1,2,Jack,Arbour,Jack Arbour
arbouja01,1928,TOR,1,0,1,10,Jack,Arbour,Jack Arbour
arboujo01,1967,BOS,0,1,1,11,John,Arbour,John Arbour
archayv01,1972,PHB,0,1,1,0,Yves,Archambault,Yves Archambault
armstbi01,1990,PHI,0,1,1,0,Bill,Armstrong,Bill Armstrong
armstch01,2003,ANA,0,1,1,0,Chris,Armstrong,Chris Armstrong
armstmu01,1938,TOR,0,1,1,0,Murray,Armstrong,Murray Armstrong
armstti01,1988,TOR,1,0,1,6,Tim,Armstrong,Tim Armstrong
arndtda01,1977,BIR,0,1,1,0,Danny,Arndt,Danny Arndt
arthufr01,1982,PHI,0,1,1,2,Fred,Arthur,Fred Arthur
ashbydo01,1979,COR,0,1,1,4,Don,Ashby,Don Ashby
ashtobr01,1991,WIN,1,0,1,4,Brent,Ashton,Brent Ashton
astaska01,1999,TBL,0,1,1,4,Kaspars,Astashenko,Kaspars Astashenko
astroha01,1980,COR,0,1,1,2,Hardy,Astrom,Hardy Astrom
atchebl01,1992,OTT,0,1,1,0,Blair,Atcheynum,Blair Atcheynum
aubinje01,1999,PIT,0,1,1,2,Jean-Sebastien,Aubin,Jean-Sebastien Aubin
aubinje01,2000,PIT,0,1,1,4,Jean-Sebastien,Aubin,Jean-Sebastien Aubin
aubinje01,2002,PIT,0,1,1,2,Jean-Sebastien,Aubin,Jean-Sebastien Aubin
aubryse01,1973,QUN,0,1,1,8,Serge,Aubry,Serge Aubry
aubryse01,1974,QUN,0,1,1,22,Serge,Aubry,Serge Aubry
aubryse01,1975,CIN,0,1,1,4,Serge,Aubry,Serge Aubry
aubryse01,1976,QUN,0,1,1,0,Serge,Aubry,Serge Aubry
aubucos01,1943,BOS,1,0,1,0,Ossie,Aubuchon,Ossie Aubuchon
aucoiad01,1994,VAN,1,0,1,0,Adrian,Aucoin,Adrian Aucoin
aucoike01,2005,CAR,0,1,1,4,Keith,Aucoin,Keith Aucoin
aucoike01,2006,CAR,0,1,1,0,Keith,Aucoin,Keith Aucoin
auldal01,2001,VAN,0,1,1,0,Alex,Auld,Alex Auld
auldal01,2006,FLO,0,1,1,2,Alex,Auld,Alex Auld
auldal01,2010,MTL,0,1,1,2,Alex,Auld,Alex Auld
aulieke01,2011,TBL,0,1,1,13,Keith,Aulie,Keith Aulie
auriela01,1938,DET,1,0,1,0,Larry,Aurie,Larry Aurie
awreydo01,1963,BOS,1,0,1,4,Don,Awrey,Don Awrey
awreydo01,1966,BOS,1,0,1,6,Don,Awrey,Don Awrey
babarse01,1977,SOV,0,1,1,0,Sergei,Babariko,Sergei Babariko
babewa01,1987,MNS,0,1,1,4,Warren,Babe,Warren Babe
babewa01,1990,MNS,0,1,1,0,Warren,Babe,Warren Babe
babyjo01,1978,MNS,0,1,1,0,John,Baby,John Baby
bacasja01,2005,STL,0,1,1,0,Jason,Bacashihua,Jason Bacashihua
bachmri01,2011,DAL,0,1,1,0,Richard,Bachman,Richard Bachman
backmmi01,1983,NYR,0,1,1,8,Mike,Backman,Mike Backman
backsni01,2006,MIN,0,1,1,2,Niklas,Backstrom,Niklas Backstrom
backsni01,2009,MIN,0,1,1,4,Niklas,Backstrom,Niklas Backstrom
backsni01,2010,MIN,0,1,1,2,Niklas,Backstrom,Niklas Backstrom
backsra01,1957,MTL,0,1,1,0,Ralph,Backstrom,Ralph Backstrom
bailljo01,1986,WIN,0,1,1,15,Joel,Baillargeon,Joel Baillargeon
bailljo01,1987,WIN,0,1,1,12,Joel,Baillargeon,Joel Baillargeon
bakerbr01,1916,MOW,1,0,1,0,Brownie,Baker,Brownie Baker
bakerja01,1998,SJS,0,1,1,0,Jamie,Baker,Jamie Baker
balach01,2001,OTT,0,1,1,0,Chris,Bala,Chris Bala
baldwdo01,1945,TOR,0,1,1,6,Doug,Baldwin,Doug Baldwin
balejjo01,2005,VAN,0,1,1,0,Jozef,Balej,Jozef Balej
balfoea01,1953,TOR,0,1,1,6,Earl,Balfour,Earl Balfour
ballte01,1971,BUF,0,1,1,6,Terry,Ball,Terry Ball
balmoma01,1999,ANA,0,1,1,2,Maxim,Balmochnykh,Maxim Balmochnykh
bancrst01,2001,SJS,0,1,1,2,Steve,Bancroft,Steve Bancroft
banduje01,1980,NYR,0,1,1,0,Jeff,Bandura,Jeff Bandura
banksda01,1993,BOS,0,1,1,9,Darren,Banks,Darren Banks
bannemu01,1981,CHI,0,1,1,0,Murray,Bannerman,Murray Bannerman
bannemu01,1982,CHI,0,1,1,2,Murray,Bannerman,Murray Bannerman
bannemu01,1984,CHI,0,1,1,8,Murray,Bannerman,Murray Bannerman
bannemu01,1986,CHI,0,1,1,4,Murray,Bannerman,Murray Bannerman
bannidr01,1995,TBL,0,1,1,4,Drew,Bannister,Drew Bannister
bannidr01,1996,EDM,0,1,1,0,Drew,Bannister,Drew Bannister
barahra01,1991,BOS,0,1,1,0,Ralph,Barahona,Ralph Barahona
baraniv01,2007,NYR,0,1,1,0,Ivan,Baranka,Ivan Baranka
barinmi01,2003,CHI,0,1,1,6,Michal,Barinka,Michal Barinka
barinmi01,2005,CHI,0,1,1,20,Michal,Barinka,Michal Barinka
barnama01,1992,BUF,1,0,1,10,Matthew,Barnaby,Matthew Barnaby
barrato01,1986,BUF,0,1,1,22,Tom,Barrasso,Tom Barrasso
barrato01,1987,BUF,0,1,1,50,Tom,Barrasso,Tom Barrasso
barrato01,1993,PIT,0,1,1,42,Tom,Barrasso,Tom Barrasso
barrejo01,1987,MNS,0,1,1,2,John,Barrett,John Barrett
barryma01,1927,NYA,1,0,1,2,Marty,Barry,Marty Barry
bartero01,1986,VAN,0,1,1,14,Robin,Bartel,Robin Bartel
bartlji01,1955,NYR,0,1,1,8,Jim,Bartlett,Jim Bartlett
bartomi01,2002,BUF,1,0,1,0,Milan,Bartovic,Milan Bartovic
bassco01,2011,CBS,0,1,1,32,Cody,Bass,Cody Bass
bassebo01,1995,DAL,0,1,1,15,Bob,Bassen,Bob Bassen
basseha01,1960,DET,0,1,1,6,Hank,Bassen,Hank Bassen
basseha01,1962,DET,0,1,1,14,Hank,Bassen,Hank Bassen
bastry01,1998,PHI,0,1,1,0,Ryan,Bast,Ryan Bast
batemja01,1975,SDM,1,0,1,4,Jamie,Bateman,Jamie Bateman
bathefr01,1975,DET,0,1,1,9,Frank,Bathe,Frank Bathe
bathgan01,1952,NYR,0,1,1,6,Andy,Bathgate,Andy Bathgate
battaba01,2003,COL,0,1,1,4,Bates,Battaglia,Bates Battaglia
bauerbo01,1936,BOS,1,0,1,0,Bobby,Bauer,Bobby Bauer
baumgke01,1989,LAK,1,0,1,28,Ken,Baumgartner,Ken Baumgartner
baumgke01,1991,NYI,0,1,1,202,Ken,Baumgartner,Ken Baumgartner
baumgke01,1992,TOR,1,0,1,155,Ken,Baumgartner,Ken Baumgartner
baumgke01,1995,ANA,0,1,1,41,Ken,Baumgartner,Ken Baumgartner
baumgke01,1997,BOS,0,1,1,199,Ken,Baumgartner,Ken Baumgartner
baumgno01,1997,WAS,0,1,1,0,Nolan,Baumgartner,Nolan Baumgartner
baumgno01,1999,WAS,0,1,1,2,Nolan,Baumgartner,Nolan Baumgartner
baumgno01,2006,PHI,0,1,1,21,Nolan,Baumgartner,Nolan Baumgartner
bawaro01,1989,WAS,1,0,1,6,Robin,Bawa,Robin Bawa
bawaro01,1993,ANA,0,1,1,7,Robin,Bawa,Robin Bawa
beadlsa01,1980,WIN,1,0,1,2,Sandy,Beadle,Sandy Beadle
beauder01,2002,FLO,0,1,1,25,Eric,Beaudoin,Eric Beaudoin
beaudno01,1970,MNS,0,1,1,0,Norm,Beaudin,Norm Beaudin
beaudse01,1977,CIN,0,1,1,10,Serge,Beaudoin,Serge Beaudoin
beaufma01,1992,SJS,1,0,1,0,Mark,Beaufait,Mark Beaufait
beaupdo01,1980,MNS,0,1,1,20,Don,Beaupre,Don Beaupre
beaupdo01,1989,WAS,0,1,1,24,Don,Beaupre,Don Beaupre
beaupdo01,1992,WAS,0,1,1,20,Don,Beaupre,Don Beaupre
beaupdo01,1993,WAS,0,1,1,16,Don,Beaupre,Don Beaupre
beaurst01,1990,WIN,0,1,1,2,Stephane,Beauregard,Stephane Beauregard
beaurst01,1992,PHI,0,1,1,0,Stephane,Beauregard,Stephane Beauregard
beckebo01,1963,BOS,0,1,1,0,Bob,Beckett,Bob Beckett
beechkr01,2002,PIT,0,1,1,6,Kris,Beech,Kris Beech
beechkr01,2003,PIT,0,1,1,6,Kris,Beech,Kris Beech
beersbo01,1989,BOS,0,1,1,6,Bob,Beers,Bob Beers
beersbo01,1990,BOS,0,1,1,10,Bob,Beers,Bob Beers
behlidi01,1942,DET,1,0,1,2,Dick,Behling,Dick Behling
belakwa01,1998,CAL,0,1,1,23,Wade,Belak,Wade Belak
belakwa01,2007,TOR,1,0,1,66,Wade,Belak,Wade Belak
belanal01,1977,TOR,0,1,1,6,Alain,Belanger,Alain Belanger
belanyv01,1974,STL,0,1,1,0,Yves,Belanger,Yves Belanger
belanyv01,1976,STL,0,1,1,0,Yves,Belanger,Yves Belanger
belanyv01,1977,ATF,0,1,1,0,Yves,Belanger,Yves Belanger
belfoed01,1988,CHI,0,1,1,6,Ed,Belfour,Ed Belfour
belfoed01,2000,DAL,0,1,1,4,Ed,Belfour,Ed Belfour
belfoed01,2005,TOR,0,1,1,12,Ed,Belfour,Ed Belfour
belhumi01,1972,PHI,0,1,1,2,Michel,Belhumeur,Michel Belhumeur
